Kanda/Books,Sarga/Chapters,Shloka/Verse,English_translation
Bala,2,43,"epic contains uncomplicated compounds conjunctions conjugations expressive 
 sentences knit led evenly sweetly legend pertains best 
 Raghu dynasty Rama includes extermination headed evil 
 named Ravana said sage listened"
Bala,3,1,"hearing essence Ramayana Sage Narada abound probity 
	 prosperity propitious virtue souled Valmiki started searching 
	 known details legend dexterous Rama"
Bala,3,2,"Valmiki sitting sacred grass mat apices east touched waters 
	 palms adjoined reverence yogic insight started search 
	 comprehensively narrative course Ramayana"
Bala,3,3,"Rama Lakshmana Seetha King Dasharatha wives bechanced 
	 Rama kingdom Ayodhya Valmiki veritably discerned smiles 
	 conversations deeds succession events 
	 sage saw wholly clearly yogic power conferred Brahma"
Bala,3,5,"bechanced truth abiding Rama trekking forests 
	 lady partner Lakshmana lone male aide Valmiki visualized"
Bala,3,6,"virtue souled sage saw happened earlier yogic exaltation 
	 citric fruit palm"
Bala,3,7,"Discerning Ramayana actuality yogic prowess highly intellectual 
	 Valmiki pioneered author legend Rama Rama delighter 
	 worlds legend abounding real functional qualities earthly 
	 pleasures prosperities clearly elaborates meaning probity 
	 operative qualities legend like ocean replete gems called 
	 thoughts ear pleasing legend"
Bala,3,9,"godly saint Valmiki composed legend Rama legatee Raghu exactly 
	 divine soul Narada narrated earlier"
Bala,3,10,"birth Rama incarnation Vishnu great valour gracefulness 
	 universal cordiality perseverance courteousness truthful conduct 
	 Valmiki described"
Bala,3,11,"Narrated amusing stories Rama breaking great bow associated 
	 sage vishvamitra"
Bala,3,12,"Dispute Rama Parashurama merits Rama son Dasharatha preparations 
	 anointing Rama crown prince Queen Kaikeyi vicious intentions"
Bala,3,13,"Disruption royal unction Raghava exile forests King Dasharatha grief 
	 bewailing departing worlds"
Bala,3,14,"grief subjects Rama leaving conversing tribal chief Guha 
	 returning charioteer Sumantra kingdom forests leaving trio banks 
	 river Ganga elements well- described"
Bala,3,15,"Crossing River Ganga looking Sage Bharadwaja look Chitrakuta 
	 Sage Bharadwaja advise"
Bala,3,16,"Construction hermitage dwelling Bharata arrival place 
	 graciousness Rama kingdom Rama denial Rama offering 
	 water oblations father hearing demise father"
Bala,3,17,"Enthroning shoe sandals Rama Bharata Bharata living village Nandigrama 
	 Rama going Dandaka forests killing demon named Viradha"
Bala,3,18,"Rama visit Sage Sarabhanga Suteekshna visiting hermitic lady Anasuuya 
	 smooth speaking Seetha giving body cream Seetha [by applying 
	 cream Seetha wither away rough weather woods details 
	 incorporated great care"
Bala,3,19,"Rama seeing Sage Agastya likewise taking great bow sage 
	 palaver Surpanakha demoness defacing likewise"
Bala,3,20,"elimination demons like Khara Trishirasa upsurge Ravana 
	 elimination demon Mareecha Ravana abduction Vaidehi likewise"
Bala,3,21,"Raghava anguish loss Seetha Ravana slaying mighty eagle Jatayu Rama 
	 seeing Kabandha Lake Pampa"
Bala,3,22,"Rama seeing Shabari hermetic lady eating fruits tubers given utmost 
	 adoration Rama bemoaning Seetha sighting Hanuma Lake Pampa"
Bala,3,23,"going Mt. Rishyamuka meeting Sugreeva generating confidence Sugreeva 
	 befriending duel Vali Sugreeva"
Bala,3,24,"Vali elimination establishing Sugreeva throne monkey kingdom grieving 
	 Tara wife Vali empress kingdom consented Rama stopover 
	 days rain"
Bala,3,25,"wrath Raghava lion delay caused Sugreeva Sugreeva foregathering 
	 troops sending quarters Sugreeva description earth 
	 topography monkey troops"
Bala,3,26,"Rama giving ring Hanuma token Seetha recognition monkeys 
	 searching Riksha cave bear cave fasting unto death quest 
	 remained unsuccessful seeing Sampaati mighty eagle brother 
	 slain Jatayu guides monkeys destination Seetha held captive"
Bala,3,27,"Hanuma climbing Mt. Mahendra leap ocean advice Ocean 
	 Mt. Mainaka coming waters rest Hanuma Hanuma seeing 
	 mountain depicted"
Bala,3,28,"Hanuma killing demoness Surasa seeing Simhika rapacious creature 
	 gigantic origin captures prey shadow Hanuma killing Simhika 
	 seeing mountain Lanka called Mt. Trikuta state Lanka 
	 built Valmiki described"
Bala,3,29,"night Hanuma entry Lanka lonely thinking course search 
	 Seetha going liquor consumption place seeing palace 
	 chambers Ravana"
Bala,3,30,"Hanuma seeing Ravana seeing Pushpaka divine aircraft wandering Ashoka 
	 gardens seeing Seetha"
Bala,3,31,"Presenting credential ring Rama Seetha talk Seeta 
	 witnessing demonesses scaring Seetha oblige Ravana witnessing demoness 
	 Trijata narrating bad dream narrated epic"
Bala,3,32,"Seetha giving bejeweled hairslide shown Rama Hanuma uprooting 
	 trees beautiful Ashoka gardens demonesses fleeing scare killing 
	 guards garden"
Bala,3,33,"capture Hanuma son Air god magical missile Indrajit son 
	 Ravana Hanuma burning Lanka blaring demons 
	 return flight Lanka way Hanuma seeing honey garden 
	 appropriation honey"
Bala,3,34,"Hanuma action presenting jewel sent Seetha solaces Raghava meeting 
	 Rama Ocean Nala building bridge ocean"
Bala,3,35,"Crossing ocean boulder bridge built Nala seizure Lanka night 
	 Vibheeshana younger brother Ravana Ravana banished comes meet Rama 
	 telling scheme kill Ravana Rama"
Bala,3,37,"Crowning Vibheeshana king Lanka demise Ravana Rama 
	 seeing Pushpaka divine aircraft returning Ayodhya aircraft 
	 Rama meeting Sage Bharadvaja way"
Bala,3,38,"Sending Hanuma meet Bharata avowed self immolate Rama come 
	 time coronation festival Rama disbandment military troops monkeys 
	 Rama ruling kingdom delight subjects desolation Vaidehi 
	 described Valmiki"
Bala,3,39,"godly sage Valmiki composed futuristic legend Rama Rama surface 
	 earth composed minuteness coming 
	 chapters epic"
Bala,4,1,"godly saint Valmiki composed Ramayana Rama retrieving kingdom wording admirably 
 meaningfully"
Bala,4,2,"Sage Valmiki said Ramayana thousand verses chapters 
 books likewise end piece"
Bala,4,3,"great scholar composed leading sequel legends godly saint 
 thought ' render ballad "
Bala,4,4,"Lava Kusha attire hermits touched feet contemplative 
 soul Valmiki thoughtful"
Bala,4,5,"Glorious Kusha Lava virtue knowing princes endowed melodious 
 voice residents hermitage Valmiki saw saluting 
 feet"
Bala,4,6,"seeing pair intellectuals proficient Veda s self reliant sage Valmiki 
 memorize epic epic Ramayana composed reinforce 
 import Veda s ancillary"
Bala,4,7,"sage observed sacred vows rendered entire epic ' Ramayana ' 
 ' Sublime Legend Seetha ' ' elimination Ravana "
